player_id,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
5588,GR1,2.0,0.0,1.0,0.0,909.0
5592,FR1,3.0,0.0,0.0,0.0,456.0
5597,FR1,2.0,0.0,0.5,0.5,572.0
5614,FR1,3.0,0.5,0.5,0.5,2108.5
5622,FR1,1.0,0.0,0.0,0.0,1197.0
5627,FR1,1.0,0.5,1.0,0.5,649.0
5635,FR1,2.5,0.0,0.0,0.0,606.5
5636,NL1,2.0,0.0,0.0,1.0,1223.0
5639,FR1,0.6666666666666666,0.0,1.3333333333333333,0.0,326.3333333333333
5645,FR1,3.0,0.0,2.0,1.0,1947.0
5648,TR1,3.5,0.0,2.0,3.0,1068.0
5652,GB1,2.0,1.0,2.0,2.0,823.0
5658,GB1,0.75,0.0,0.0,0.0,2018.25
5664,FR1,0.0,1.0,1.0,0.0,860.0
5667,TR1,1.0,1.0,0.0,0.0,685.0
5668,GB1,0.0,0.0,0.0,1.0,1328.0
5672,FR1,3.5,0.0,1.0,1.25,1678.75
5676,FR1,6.333333333333333,0.0,0.3333333333333333,1.3333333333333333,2973.6666666666665
5680,FR1,1.5,0.0,3.0,1.0,960.5
5686,FR1,0.0,0.0,0.0,0.0,1230.25
5687,BE1,1.0,1.0,0.0,0.0,2604.0
5688,GR1,2.0,0.0,0.0,0.0,630.0
5698,FR1,6.333333333333333,0.0,4.333333333333333,3.6666666666666665,1879.0
5712,GR1,1.0,0.0,2.0,3.0,935.0
5755,IT1,4.75,0.0,0.25,0.5,1914.0
5768,IT1,2.0,0.0,0.0,0.0,234.0
5782,TR1,7.25,0.0,2.25,4.5,1617.5
5793,IT1,2.5,0.0,0.0,0.25,806.25
5794,ES1,6.0,0.0,7.0,3.0,1710.0
5812,IT1,0.0,0.0,0.0,0.0,195.0
5817,IT1,4.0,0.0,4.333333333333333,6.333333333333333,2310.6666666666665
5818,IT1,9.0,0.0,0.0,1.5,1280.0
5825,IT1,4.0,0.25,6.25,1.75,1306.5
5854,TR1,0.0,0.0,0.0,0.0,2430.0
5856,ES1,2.75,0.25,0.0,0.25,674.75
5858,IT1,5.0,0.4,0.2,0.6,1799.4
5868,IT1,1.5,0.0,0.5,0.0,638.5
5870,SC1,6.0,0.0,1.0,1.0,1419.5
5873,IT1,5.666666666666667,0.0,0.6666666666666666,1.6666666666666667,1700.3333333333333
5878,IT1,2.5,0.0,5.5,1.25,1332.75
5879,FR1,4.0,0.0,5.5,0.0,1428.5
5880,FR1,0.0,0.0,0.0,0.0,90.0
5881,BE1,0.0,0.0,0.0,0.0,540.0
5889,IT1,8.5,0.5,0.0,0.5,2000.0
5890,IT1,3.0,0.0,2.5,0.0,1419.0
5892,DK1,2.0,0.0,0.5,1.0,882.5
5893,IT1,8.75,0.0,1.0,0.75,1166.0
5896,IT1,7.666666666666667,0.3333333333333333,1.3333333333333333,3.3333333333333335,2157.6666666666665
